Gene	c2	c4	c3	Anc3	Anc2	c1	c5	Anc4	Anc1
c1_C1orf112	2	2	2	2	2	2	3	2	2
c1_C5	2	2	2	2	2	2	3	2	2
c1_CCDC14	2	2	2	2	2	2	3	2	2
c1_CCDC15	2	2	2	2	2	2	3	2	2
c1_CCDC150	2	2	2	2	2	2	3	2	2
c1_CCDC18	2	2	2	2	2	2	3	2	2
c1_CCDC3	2	2	2	2	2	2	3	2	2
c1_CCNF	2	2	2	2	2	2	3	2	2
c1_CDCA7	2	2	2	2	2	2	3	2	2
c1_CDKN2C	2	2	2	2	2	2	3	2	2
c1_CENPL	2	2	2	2	2	2	3	2	2
c1_CENPO	2	2	2	2	2	2	3	2	2
c1_CENPS	2	2	2	2	2	2	3	2	2
c1_CEP128	2	2	2	2	2	2	3	2	2
c1_CEP135	2	2	2	2	2	2	3	2	2
c1_CEP152	2	2	2	2	2	2	3	2	2
c1_CEP162	2	2	2	2	2	2	3	2	2
c1_CEP192	2	2	2	2	2	2	3	2	2
c1_CHAF1A	2	2	2	2	2	2	3	2	2
c1_CHEK1	2	2	2	2	2	2	3	2	2
c1_CKAP2	2	2	2	2	2	2	3	2	2
c1_CKLF	2	2	2	2	2	2	3	2	2
c1_CLIC4	2	2	2	2	2	2	3	2	2
c1_CNTLN	2	2	2	2	2	2	3	2	2
c1_CU638689.4	2	2	2	2	2	2	3	2	2
c1_DDX11	2	2	2	2	2	2	3	2	2
c1_DLEU2	2	2	2	2	2	2	3	2	2
c1_DNA2	2	2	2	2	2	2	3	2	2
c1_DNAJC9	2	2	2	2	2	2	3	2	2
c1_DONSON	2	2	2	2	2	2	3	2	2
c1_DTYMK	2	2	2	2	2	2	3	2	2
c1_EGFR	2	2	2	2	2	2	3	2	2
c1_EGR1	2	2	2	2	2	2	3	2	2
c1_EZH2	2	2	2	2	2	2	3	2	2
c1_FAAP24	2	2	2	2	2	2	3	2	2
c1_FAM122B	2	2	2	2	2	2	3	2	2
c1_FANCG	2	2	2	2	2	2	3	2	2
c1_FBXO43	2	2	2	2	2	2	3	2	2
c1_FCMR	2	2	2	2	2	2	3	2	2
c1_GAS6-AS1	2	2	2	2	2	2	3	2	2
c1_GEN1	2	2	2	2	2	2	3	2	2
c1_GGH	2	2	2	2	2	2	3	2	2
c1_GJC1	2	2	2	2	2	2	3	2	2
c1_GLUD2	2	2	2	2	2	2	3	2	2
c1_GMPPB	2	2	2	2	2	2	3	2	2
c1_GUCY2F	2	2	2	2	2	2	3	2	2
c1_HAUS4	2	2	2	2	2	2	3	2	2
c1_HAUS5	2	2	2	2	2	2	3	2	2
c1_HELLS	2	2	2	2	2	2	3	2	2
c1_HIST1H2BN	2	2	2	2	2	2	3	2	2
c1_HMMR	2	2	2	2	2	2	3	2	2
c1_HRCT1	2	2	2	2	2	2	3	2	2
c1_HSPB11	2	2	2	2	2	2	3	2	2
c1_IL11RA	2	2	2	2	2	2	3	2	2
