ffinal3...1.	WTCa_vs_WT	WT_vs_WTFK	WT_vs_cna1	WT_vs_crz1	WTCa_vs_WTFK	WTCa_vs_cna1	WTCa_vs_crz1	WTFK_vs_cna1	WTFK_vs_crz1	cna1_vs_crz1
CAGL0A03212g	-0.1394019482	0.0431671828000001	-0.3875861617	-0.0407964312999999	-0.0962347654	-0.5269881099	-0.1801983795	-0.4307533445	-0.0839636141	0.3467897304
CAGL0A03234g	0.0985414562	-0.0856720192	-0.00499072799999991	-0.0497717505999999	0.0128694370000000	0.0935507282	0.0487697056000001	0.0806812912000001	0.0359002686000001	-0.0447810226
CAGL0A03256g	-0.0562825245	-0.0243835886999999	-0.1766559441	0.00668843880000008	-0.0806661132	-0.2329384686	-0.0495940856999999	-0.1522723554	0.0310720275000001	0.1833443829
CAGL0A03278g	-0.0315806532000001	0.0793657003	0.0504189789	-0.1396100344	0.0477850471	0.0188383257	-0.1711906876	-0.0289467213999999	-0.2189757347	-0.1900290133
CAGL0A03300g	-0.0607657705	-0.1566895009	-0.418452185	-0.0131120485999999	-0.2174552714	-0.4792179555	-0.0738778190999999	-0.2617626841	0.143577452300000	0.4053401364
CAGL0A03322g	-0.1078505887	0.00670488129999995	0.00441004679999996	0.0948736162	-0.1011457074	-0.1034405419	-0.0129769725000000	-0.00229483450000003	0.0881687349	0.0904635694
CAGL0A03344g	-0.174570324	0.3637598675	0.3445852724	-0.2913266319	0.1891895435	0.1700149484	-0.4658969559	-0.0191745951000001	-0.6550864994	-0.6359119043
CAGL0A03366g	0.8017827002	0.2780077991	0.332583101	0.1561785226	1.0797904993	1.1343658012	0.9579612228	0.0545753019000002	-0.121829276500000	-0.1764045784
CAGL0A03388g	0.1396945902	-0.1652176064	-0.0645330396999999	-0.0362519796999999	-0.0255230162	0.0751615505	0.1034426105	0.100684566700000	0.128965626700000	0.0282810600000001
CAGL0A03410g	0.154540267300000	-0.9214326835	-1.6978604895	-0.3568413232	-0.7668924162	-1.5433202222	-0.202301055900000	-0.776427806	0.5645913603	1.3410191663
CAGL0A03432g	0.06598826	-0.0346599123	-0.0640604542999999	0.2709424726	0.0313283476999999	0.00192780570000004	0.3369307326	-0.02940054200	0.3056023849	0.3350029269
CAGL0A03454g	0.3702559249	-0.3459778362	-0.4033328038	-0.2538153996	0.0242780887	-0.0330768788999999	0.1164405253	-0.0573549675999999	0.0921624366	0.1495174042
CAGL0A03476g	-0.0520029772	0.1931092718	0.2002021694	0.1705045091	0.141106294600000	0.1481991922	0.1185015319	0.00709289760000002	-0.0226047626999999	-0.0296976602999999
CAGL0A03498g	-0.1769983149	-0.1690440207	-0.1631437849	0.1999576412	-0.3460423356	-0.3401420998	0.0229593263	0.00590023579999993	0.3690016619	0.3631014261
CAGL0A03542g	-0.0108162797000000	-0.1438793964	-0.1874704374	0.00122478110000011	-0.1546956761	-0.1982867171	-0.0095914986	-0.043591041	0.1451041775	0.1886952185
CAGL0A03564g	-0.0389287022	0.150107213	0.0613995693999999	-0.3033926251	0.1111785108	0.0224708672000000	-0.3423213273	-0.0887076436	-0.4534998381	-0.3647921945
CAGL0A03586g	0.00490922899999998	0.0567380638	-0.095091559	0.0996596817	0.0616472928	-0.09018233	0.1045689107	-0.1518296228	0.0429216179000000	0.1947512407
CAGL0A03608g	0.7918644528	-0.2000973328	-0.4340657326	0.1608112487	0.59176712	0.3577987202	0.9526757015	-0.2339683998	0.360908581500000	0.5948769813
CAGL0A03630g	0.0703567012	-0.0220694356	-0.1065067532	-0.115989579	0.0482872656	-0.036150052	-0.0456328778	-0.0844373176	-0.0939201434	-0.00948282580000001
CAGL0A03652g	-0.1746342655	-0.0455489877	-0.1733984215	0.0159476086999999	-0.2201832532	-0.348032687	-0.1586866568	-0.1278494338	0.0614965964	0.1893460302
CAGL0A03674g	-0.0683223356999999	-0.2008551285	-0.3913273992	-0.081990097	-0.2691774642	-0.4596497349	-0.1503124327	-0.1904722707	0.1188650315	0.3093373022
CAGL0A03696g	0.0850311598	0.0642461113999999	0.2192641637	0.0488045277	0.1492772712	0.3042953235	0.1338356875	0.1550180523	-0.0154415836999999	-0.170459636
CAGL0A03718g	-0.113071382	0.0917449808	0.1793036169	-0.0471399132000000	-0.0213264012000000	0.0662322349	-0.1602112952	0.0875586361	-0.138884894	-0.2264435301
